,equity
2024-09-16 00:00:00+00:00,5462.854291828185
2024-09-17 00:00:00+00:00,5453.599348565604
2024-09-18 00:00:00+00:00,5696.247103031153
2024-09-19 00:00:00+00:00,5746.086604883251
2024-09-20 00:00:00+00:00,5759.769231915757
2024-09-23 00:00:00+00:00,5926.192080190822
2024-09-24 00:00:00+00:00,5977.730990767817
2024-09-25 00:00:00+00:00,5991.489375855018
2024-09-26 00:00:00+00:00,5884.152873624166
2024-09-27 00:00:00+00:00,5814.814688834059
2024-09-30 00:00:00+00:00,5726.666803110873
2024-10-01 00:00:00+00:00,5725.831957904055
2024-10-02 00:00:00+00:00,5785.421971025064
2024-10-03 00:00:00+00:00,5852.054238489174
2024-10-04 00:00:00+00:00,5832.130839567489
2024-10-07 00:00:00+00:00,6105.191959399148
2024-10-08 00:00:00+00:00,6127.490853912233
2024-10-09 00:00:00+00:00,6196.445977882205
2024-10-10 00:00:00+00:00,6213.855646813034
2024-10-11 00:00:00+00:00,6376.515851567512
2024-10-14 00:00:00+00:00,6149.429491078073
2024-10-15 00:00:00+00:00,6252.297900626611
2024-10-16 00:00:00+00:00,6222.030432849839
2024-10-17 00:00:00+00:00,6280.592203234173
2024-10-18 00:00:00+00:00,6472.289939667441
2024-10-21 00:00:00+00:00,6498.941262776732
2024-10-22 00:00:00+00:00,6287.155923009858
2024-10-23 00:00:00+00:00,6308.85402749508
2024-10-24 00:00:00+00:00,6423.04306133917
2024-10-25 00:00:00+00:00,6446.669229619797
2024-10-28 00:00:00+00:00,6565.149859679411
2024-10-29 00:00:00+00:00,6659.991251197117
2024-10-30 00:00:00+00:00,6356.743612712773
2024-10-31 00:00:00+00:00,6511.7613755806815
2024-11-01 00:00:00+00:00,6437.303784953392
2024-11-04 00:00:00+00:00,6583.109877427958
2024-11-05 00:00:00+00:00,6917.170018652498
2024-11-06 00:00:00+00:00,7117.495784901994
2024-11-07 00:00:00+00:00,7035.947170689654
2024-11-08 00:00:00+00:00,6940.625964201932
2024-11-11 00:00:00+00:00,7031.418502929312
2024-11-12 00:00:00+00:00,7099.406129345457
2024-11-13 00:00:00+00:00,7113.474376743894
2024-11-14 00:00:00+00:00,6842.941666282986
2024-11-15 00:00:00+00:00,6867.610731634501
2024-11-18 00:00:00+00:00,6998.653390788858
2024-11-19 00:00:00+00:00,6947.042893598337
2024-11-20 00:00:00+00:00,6813.057782967785
2024-11-21 00:00:00+00:00,6770.171645060307
2024-11-22 00:00:00+00:00,6855.310035181971
2024-11-25 00:00:00+00:00,7050.228124606573
2024-11-26 00:00:00+00:00,6984.778088661143
2024-11-27 00:00:00+00:00,7045.692308826601
2024-11-29 00:00:00+00:00,7169.57528877835
2024-12-02 00:00:00+00:00,7282.544746925863
2024-12-03 00:00:00+00:00,7480.091582479164
2024-12-04 00:00:00+00:00,7545.432390441508
2024-12-05 00:00:00+00:00,7642.445999875773
2024-12-06 00:00:00+00:00,7587.3451627168715
2024-12-09 00:00:00+00:00,7583.747903120322
2024-12-10 00:00:00+00:00,7778.367658532943
2024-12-11 00:00:00+00:00,7738.68366991048
2024-12-12 00:00:00+00:00,7677.11154589874
2024-12-13 00:00:00+00:00,7823.033261871363
2024-12-16 00:00:00+00:00,7806.119092502462
2024-12-17 00:00:00+00:00,7465.3570906009445
2024-12-18 00:00:00+00:00,7510.221094913481
2024-12-19 00:00:00+00:00,7637.399536490784
2024-12-20 00:00:00+00:00,7765.942313601269
2024-12-23 00:00:00+00:00,7864.411590728796
2024-12-24 00:00:00+00:00,7839.300534557469
2024-12-26 00:00:00+00:00,7676.291630645579
2024-12-27 00:00:00+00:00,7600.291040201696
2024-12-30 00:00:00+00:00,7481.007137842607
2024-12-31 00:00:00+00:00,7544.178539889466
2025-01-02 00:00:00+00:00,7775.075675427049
2025-01-03 00:00:00+00:00,8044.238860581235
2025-01-06 00:00:00+00:00,7731.969588137618
2025-01-07 00:00:00+00:00,7715.080697957451
2025-01-08 00:00:00+00:00,7545.1860432004505
2025-01-10 00:00:00+00:00,7484.05482492341
2025-01-13 00:00:00+00:00,7437.529600517759
2025-01-14 00:00:00+00:00,7713.115498400518
2025-01-15 00:00:00+00:00,7598.613322675116
2025-01-16 00:00:00+00:00,7802.933207020894
2025-01-17 00:00:00+00:00,7954.229710784248
2025-01-21 00:00:00+00:00,8257.588041870053
2025-01-22 00:00:00+00:00,8259.80023957845
2025-01-23 00:00:00+00:00,8185.145198241528
2025-01-24 00:00:00+00:00,7737.585518638944
2025-01-27 00:00:00+00:00,8018.38621424467
2025-01-28 00:00:00+00:00,7967.8599598570645
2025-01-29 00:00:00+00:00,7968.23832031676
2025-01-30 00:00:00+00:00,7967.283699280899
2025-01-31 00:00:00+00:00,7789.585930687176
2025-02-03 00:00:00+00:00,7973.6779139307055
2025-02-04 00:00:00+00:00,7768.515124870414
2025-02-05 00:00:00+00:00,7889.760921332627
2025-02-06 00:00:00+00:00,7778.471971096173
2025-02-07 00:00:00+00:00,7941.003972364517
2025-02-10 00:00:00+00:00,7903.243710339037
2025-02-11 00:00:00+00:00,7782.985933282993
2025-02-12 00:00:00+00:00,7924.196623528335
2025-02-13 00:00:00+00:00,7956.429667599579
2025-02-14 00:00:00+00:00,7914.515710238577
2025-02-18 00:00:00+00:00,7936.812942269537
2025-02-19 00:00:00+00:00,7875.439715929308
2025-02-20 00:00:00+00:00,7671.1189722279
2025-02-21 00:00:00+00:00,7597.884540670371
2025-02-24 00:00:00+00:00,7582.7649228702585
2025-02-25 00:00:00+00:00,7527.328149524994
2025-02-26 00:00:00+00:00,7315.773451592722
2025-02-27 00:00:00+00:00,7487.659333176376
2025-02-28 00:00:00+00:00,7178.25326003592
2025-03-03 00:00:00+00:00,7230.2216307899735
2025-03-04 00:00:00+00:00,7364.742571828104
2025-03-05 00:00:00+00:00,7175.404550006122
2025-03-06 00:00:00+00:00,7255.409820306121
2025-03-07 00:00:00+00:00,6823.65216379357
2025-03-10 00:00:00+00:00,6721.912950637055
2025-03-11 00:00:00+00:00,6812.036471920289
2025-03-12 00:00:00+00:00,6606.766277769264
2025-03-13 00:00:00+00:00,6912.266485597225
2025-03-14 00:00:00+00:00,6850.857076584121
2025-03-17 00:00:00+00:00,6650.071939679267
2025-03-18 00:00:00+00:00,6800.9817832646395
2025-03-19 00:00:00+00:00,6783.187453654213
2025-03-20 00:00:00+00:00,6854.417371136644
2025-03-21 00:00:00+00:00,7126.527606521642
2025-03-24 00:00:00+00:00,7238.333760393689
2025-03-25 00:00:00+00:00,6920.152576868791
2025-03-26 00:00:00+00:00,6865.457703627838
2025-03-27 00:00:00+00:00,6524.0085456591305
2025-03-28 00:00:00+00:00,6577.918107766562
2025-03-31 00:00:00+00:00,6696.708192812374
2025-04-01 00:00:00+00:00,6710.184979426647
2025-04-02 00:00:00+00:00,6106.467864276214
2025-04-03 00:00:00+00:00,5605.840561677501
2025-04-04 00:00:00+00:00,5726.036804064107
2025-04-07 00:00:00+00:00,5567.518341051015
2025-04-08 00:00:00+00:00,6861.877954511043
2025-04-09 00:00:00+00:00,6425.091568103743
2025-04-10 00:00:00+00:00,6682.354024164378
2025-04-11 00:00:00+00:00,6699.748583676577
2025-04-14 00:00:00+00:00,6673.703536261604
2025-04-15 00:00:00+00:00,6251.074523737245
2025-04-16 00:00:00+00:00,6160.593368878599
2025-04-17 00:00:00+00:00,5902.264852569508
2025-04-21 00:00:00+00:00,6191.253042850955
2025-04-22 00:00:00+00:00,6518.100746259977
2025-04-23 00:00:00+00:00,6825.603552234708
2025-04-24 00:00:00+00:00,7045.256802503282
2025-04-25 00:00:00+00:00,6925.7027404228475
2025-04-28 00:00:00+00:00,6951.233929746626
2025-04-29 00:00:00+00:00,6919.67470329644
2025-04-30 00:00:00+00:00,7298.167019988915
2025-05-01 00:00:00+00:00,7467.905826801038
2025-05-02 00:00:00+00:00,7420.073285305999
2025-05-05 00:00:00+00:00,7377.344214551261
2025-05-06 00:00:00+00:00,7242.060180562641
2025-05-07 00:00:00+00:00,7349.787695138575
2025-05-08 00:00:00+00:00,7299.732490375516
2025-05-09 00:00:00+00:00,7833.829991384883
2025-05-12 00:00:00+00:00,8119.1748775842425
2025-05-13 00:00:00+00:00,8342.707981430844
2025-05-14 00:00:00+00:00,8269.60513129286
2025-05-15 00:00:00+00:00,8327.567917025093
2025-05-16 00:00:00+00:00,8339.217214749631
2025-05-19 00:00:00+00:00,8252.337827629735
2025-05-20 00:00:00+00:00,8118.451874098849
2025-05-21 00:00:00+00:00,8176.156023343022
2025-05-22 00:00:00+00:00,8044.13515109379
2025-05-23 00:00:00+00:00,8322.41918947095
2025-05-27 00:00:00+00:00,8282.094589545493
2025-05-28 00:00:00+00:00,8445.972613164513
2025-05-29 00:00:00+00:00,8300.885570073651
2025-05-30 00:00:00+00:00,8355.15491683203
2025-06-02 00:00:00+00:00,8428.491970510644
2025-06-03 00:00:00+00:00,8487.909676845224
