date,open,high,low,close,volume
1986-01-02 00:00:00+00:00,34.3295,34.3295,34.3295,34.3295,0.0
1986-01-03 00:00:00+00:00,35.8386,35.8386,35.8386,35.8386,0.0
1986-01-07 00:00:00+00:00,35.5023,35.5023,35.5023,35.5023,0.0
1986-01-08 00:00:00+00:00,35.1679,35.1679,35.1679,35.1679,0.0
1986-01-09 00:00:00+00:00,34.4972,34.4972,34.4972,34.4972,0.0
1986-01-10 00:00:00+00:00,37.5125,37.5125,37.5125,37.5125,0.0
1986-01-13 00:00:00+00:00,39.8551,39.8551,39.8551,39.8551,0.0
1986-01-14 00:00:00+00:00,39.1863,39.1863,39.1863,39.1863,0.0
1986-01-15 00:00:00+00:00,39.1863,39.1863,39.1863,39.1863,0.0
1986-01-16 00:00:00+00:00,38.852,38.852,38.852,38.852,0.0
1986-01-20 00:00:00+00:00,38.348,38.348,38.348,38.348,0.0
1986-01-21 00:00:00+00:00,38.5166,38.5166,38.5166,38.5166,0.0
1986-01-23 00:00:00+00:00,35.5023,35.5023,35.5023,35.5023,0.0
1986-01-24 00:00:00+00:00,36.8418,36.8418,36.8418,36.8418,0.0
1986-01-27 00:00:00+00:00,37.5125,37.5125,37.5125,37.5125,0.0
1986-01-30 00:00:00+00:00,38.5166,38.5166,38.5166,38.5166,0.0
1986-01-31 00:00:00+00:00,39.1863,39.1863,39.1863,39.1863,0.0
1986-02-03 00:00:00+00:00,38.852,38.852,38.852,38.852,0.0
1986-02-04 00:00:00+00:00,38.852,38.852,38.852,38.852,0.0
1986-02-05 00:00:00+00:00,38.5166,38.5166,38.5166,38.5166,0.0
1986-02-10 00:00:00+00:00,37.8469,37.8469,37.8469,37.8469,0.0
1986-02-12 00:00:00+00:00,38.1822,38.1822,38.1822,38.1822,0.0
1986-02-17 00:00:00+00:00,40.1924,40.1924,40.1924,40.1924,0.0
1986-02-18 00:00:00+00:00,51.579,51.579,51.579,51.579,0.0
1986-02-19 00:00:00+00:00,49.2325,49.2325,49.2325,49.2325,0.0
1986-02-20 00:00:00+00:00,48.9001,48.9001,48.9001,48.9001,0.0
1986-02-21 00:00:00+00:00,49.2325,49.2325,49.2325,49.2325,0.0
1986-02-24 00:00:00+00:00,48.9001,48.9001,48.9001,48.9001,0.0
1986-02-25 00:00:00+00:00,47.894,47.894,47.894,47.894,0.0
1986-02-26 00:00:00+00:00,44.8816,44.8816,44.8816,44.8816,0.0
1986-03-03 00:00:00+00:00,45.215,45.215,45.215,45.215,0.0
1986-03-05 00:00:00+00:00,46.2201,46.2201,46.2201,46.2201,0.0
1986-03-06 00:00:00+00:00,46.2201,46.2201,46.2201,46.2201,0.0
1986-03-07 00:00:00+00:00,45.8848,45.8848,45.8848,45.8848,0.0
1986-03-10 00:00:00+00:00,45.5523,45.5523,45.5523,45.5523,0.0
1986-03-11 00:00:00+00:00,46.2201,46.2201,46.2201,46.2201,0.0
1986-03-12 00:00:00+00:00,46.8899,46.8899,46.8899,46.8899,0.0
1986-03-13 00:00:00+00:00,45.215,45.215,45.215,45.215,0.0
1986-03-14 00:00:00+00:00,44.8816,44.8816,44.8816,44.8816,0.0
1986-03-18 00:00:00+00:00,45.5523,45.5523,45.5523,45.5523,0.0
1986-03-19 00:00:00+00:00,44.2099,44.2099,44.2099,44.2099,0.0
1986-03-20 00:00:00+00:00,44.8816,44.8816,44.8816,44.8816,0.0
1986-03-21 00:00:00+00:00,44.2099,44.2099,44.2099,44.2099,0.0
1986-03-24 00:00:00+00:00,44.5453,44.5453,44.5453,44.5453,0.0
1986-03-26 00:00:00+00:00,44.8816,44.8816,44.8816,44.8816,0.0
1986-03-27 00:00:00+00:00,45.5523,45.5523,45.5523,45.5523,0.0
1986-04-01 00:00:00+00:00,46.5545,46.5545,46.5545,46.5545,0.0
1986-04-03 00:00:00+00:00,46.5545,46.5545,46.5545,46.5545,0.0
