date,open,high,low,close,volume
2021-07-08 00:00:00+00:00,414.0,414.0,408.5,409.7,1407
2021-07-09 00:00:00+00:00,416.55,416.55,416.55,416.55,0
2021-07-12 00:00:00+00:00,412.3,412.3,412.3,412.3,0
2021-07-13 00:00:00+00:00,418.85,418.85,418.85,418.85,0
2021-07-14 00:00:00+00:00,409.25,409.25,409.25,409.25,0
2021-07-15 00:00:00+00:00,406.75,406.75,406.75,406.75,0
2021-07-16 00:00:00+00:00,400.65,400.65,400.65,400.65,0
2021-07-19 00:00:00+00:00,398.1,398.1,398.1,398.1,0
2021-07-20 00:00:00+00:00,403.1,403.1,403.1,403.1,0
2021-07-21 00:00:00+00:00,401.0,401.0,401.0,401.0,0
2021-07-22 00:00:00+00:00,405.2,405.2,405.2,405.2,0
2021-07-23 00:00:00+00:00,408.55,408.55,408.55,408.55,0
2021-07-26 00:00:00+00:00,412.5,412.5,412.5,412.5,0
2021-07-27 00:00:00+00:00,411.6,411.6,401.2,401.2,122
2021-07-28 00:00:00+00:00,411.6,411.6,403.0,403.0,122
2021-07-29 00:00:00+00:00,398.5,398.5,398.5,398.5,0
2021-07-30 00:00:00+00:00,373.7,373.7,370.7,371.25,1167
2021-08-02 00:00:00+00:00,369.55,369.55,369.55,369.55,0
2021-08-03 00:00:00+00:00,367.3,367.3,367.25,367.25,136
2021-08-04 00:00:00+00:00,372.6,372.6,371.3,371.3,97
2021-08-05 00:00:00+00:00,373.2,373.2,373.2,373.2,0
2021-08-06 00:00:00+00:00,370.95,370.95,370.95,370.95,0
2021-08-09 00:00:00+00:00,371.65,371.65,371.65,371.65,0
2021-08-10 00:00:00+00:00,369.55,369.55,369.55,369.55,0
2021-08-11 00:00:00+00:00,370.6,370.6,366.2,366.2,121
2021-08-12 00:00:00+00:00,367.2,367.2,367.2,367.2,0
2021-08-13 00:00:00+00:00,365.65,365.65,365.65,365.65,0
2021-08-16 00:00:00+00:00,360.0,360.0,359.4,359.4,123
2021-08-17 00:00:00+00:00,364.05,364.05,364.05,364.05,0
2021-08-18 00:00:00+00:00,361.45,361.45,361.45,361.45,0
2021-08-19 00:00:00+00:00,360.0,363.5,360.0,363.5,123
2021-08-20 00:00:00+00:00,360.95,360.95,360.95,360.95,0
2021-08-23 00:00:00+00:00,360.5,365.65,360.5,365.65,102
2021-08-24 00:00:00+00:00,370.0,370.8,370.0,370.8,540
2021-08-25 00:00:00+00:00,370.05,370.05,370.05,370.05,0
2021-08-26 00:00:00+00:00,373.35,373.35,373.35,373.35,0
2021-08-27 00:00:00+00:00,372.5,372.5,372.5,372.5,0
2021-08-31 00:00:00+00:00,370.0,385.2,370.0,385.2,540
2021-09-01 00:00:00+00:00,393.5,393.5,393.5,393.5,0
2021-09-02 00:00:00+00:00,390.5,390.5,390.5,390.5,0
2021-09-03 00:00:00+00:00,384.05,384.05,384.05,384.05,0
2021-09-06 00:00:00+00:00,388.6,388.6,388.6,388.6,0
2021-09-07 00:00:00+00:00,392.7,392.7,392.7,392.7,0
2021-09-08 00:00:00+00:00,393.6,395.4,393.6,394.3,31
2021-09-09 00:00:00+00:00,391.25,391.25,391.25,391.25,0
2021-09-10 00:00:00+00:00,388.6,388.6,387.25,387.25,1
2021-09-13 00:00:00+00:00,385.25,385.25,385.25,385.25,0
2021-09-14 00:00:00+00:00,385.85,385.85,385.85,385.85,0
2021-09-15 00:00:00+00:00,379.9,379.9,379.9,379.9,0
2021-09-16 00:00:00+00:00,386.4,386.4,386.4,386.4,0
2021-09-17 00:00:00+00:00,389.0,389.0,389.0,389.0,0
2021-09-20 00:00:00+00:00,385.3,385.3,379.95,379.95,4206
2021-09-21 00:00:00+00:00,379.8,379.8,379.8,379.8,0
2021-09-22 00:00:00+00:00,379.75,379.75,379.75,379.75,0
2021-09-23 00:00:00+00:00,382.7,382.7,382.7,382.7,0
2021-09-24 00:00:00+00:00,382.65,382.65,382.65,382.65,0
2021-09-27 00:00:00+00:00,378.65,378.65,378.65,378.65,0
2021-09-28 00:00:00+00:00,376.5,376.5,376.5,376.5,0
2021-09-29 00:00:00+00:00,390.0,390.0,381.3,381.3,319
2021-09-30 00:00:00+00:00,377.9,377.9,377.9,377.9,0
2021-10-01 00:00:00+00:00,373.05,373.05,373.05,373.05,0
2021-10-04 00:00:00+00:00,361.85,361.85,361.85,361.85,0
2021-10-05 00:00:00+00:00,366.95,366.95,366.95,366.95,0
2021-10-06 00:00:00+00:00,367.55,367.55,367.55,367.55,0
2021-10-07 00:00:00+00:00,374.65,374.65,374.65,374.65,0
2021-10-08 00:00:00+00:00,373.15,373.15,373.15,373.15,0
2021-10-11 00:00:00+00:00,370.45,370.45,370.45,370.45,0
2021-10-12 00:00:00+00:00,368.2,368.2,367.55,367.55,1293
2021-10-13 00:00:00+00:00,369.8,369.8,368.8,369.45,359
2021-10-14 00:00:00+00:00,370.4,372.7,370.4,372.5,347
2021-10-15 00:00:00+00:00,379.0,379.0,379.0,379.0,0
2021-10-18 00:00:00+00:00,382.2,383.1,382.2,383.1,66
2021-10-19 00:00:00+00:00,383.2,383.2,383.2,383.2,0
2021-10-20 00:00:00+00:00,381.7,381.7,381.7,381.7,0
2021-10-21 00:00:00+00:00,382.75,382.75,382.75,382.75,0
2021-10-22 00:00:00+00:00,375.65,375.65,375.65,375.65,0
2021-10-25 00:00:00+00:00,369.7,369.7,369.7,369.7,0
2021-10-26 00:00:00+00:00,380.65,380.65,380.65,380.65,0
2021-10-27 00:00:00+00:00,380.2,380.2,380.2,380.2,0
2021-10-28 00:00:00+00:00,384.25,384.25,384.25,384.25,0
2021-10-29 00:00:00+00:00,375.55,375.55,375.55,375.55,0
2021-11-01 00:00:00+00:00,382.2,382.2,374.8,374.8,66
2021-11-02 00:00:00+00:00,372.95,372.95,372.95,372.95,0
2021-11-03 00:00:00+00:00,375.65,375.65,375.65,375.65,0
2021-11-04 00:00:00+00:00,395.1,395.1,395.1,395.1,0
2021-11-05 00:00:00+00:00,398.5,406.4,398.5,406.4,76
2021-11-08 00:00:00+00:00,400.9,400.9,400.9,400.9,0
