entry_time,exit_time,entry_price,exit_price,gross_ret,gross_pnl,fees,net_pnl,symbol
2025-06-01 00:30:00+00:00,2025-06-01 06:30:00+00:00,104380.95,104323.5,-0.0005503877862770658,-0.5503877862770657,9.999999999999999e-05,-0.5504877862770657,BTC/USDT
2025-06-01 07:30:00+00:00,2025-06-01 13:30:00+00:00,104341.47,104189.58,-0.0014557011703975361,-1.4557011703975362,9.999999999999999e-05,-1.4558011703975362,BTC/USDT
2025-06-01 14:30:00+00:00,2025-06-01 20:30:00+00:00,104670.18,105160.05,0.004680129526862474,4.680129526862474,9.999999999999999e-05,4.680029526862474,BTC/USDT
2025-06-01 21:30:00+00:00,2025-06-02 03:30:00+00:00,105157.56,104819.98,-0.0032102304389717844,-3.2102304389717844,9.999999999999999e-05,-3.2103304389717846,BTC/USDT
2025-06-02 04:30:00+00:00,2025-06-02 10:30:00+00:00,104918.36,104376.08,-0.00516859013045952,-5.16859013045952,9.999999999999999e-05,-5.168690130459519,BTC/USDT
2025-06-02 12:00:00+00:00,2025-06-02 18:00:00+00:00,104047.63,104399.89,0.003385564861016005,3.385564861016005,9.999999999999999e-05,3.385464861016005,BTC/USDT
2025-06-02 19:00:00+00:00,2025-06-03 01:00:00+00:00,104361.54,106285.72,0.018437635167131566,18.437635167131567,9.999999999999999e-05,18.437535167131568,BTC/USDT
2025-06-03 03:30:00+00:00,2025-06-03 09:30:00+00:00,105474.43,105077.5,-0.003763281773601365,-3.7632817736013653,9.999999999999999e-05,-3.7633817736013655,BTC/USDT
2025-06-03 11:00:00+00:00,2025-06-03 17:00:00+00:00,105281.0,105817.63,0.005097121037984106,5.097121037984106,9.999999999999999e-05,5.097021037984106,BTC/USDT
2025-06-03 20:30:00+00:00,2025-06-04 02:30:00+00:00,105631.46,105646.13,0.00013887908015280915,0.13887908015280914,9.999999999999999e-05,0.13877908015280915,BTC/USDT
2025-06-04 05:00:00+00:00,2025-06-04 11:00:00+00:00,105407.06,105705.13,0.0028277992005469746,2.8277992005469748,9.999999999999999e-05,2.8276992005469745,BTC/USDT
2025-06-04 13:30:00+00:00,2025-06-04 19:30:00+00:00,104971.02,104894.27,-0.0007311541795059246,-0.7311541795059245,9.999999999999999e-05,-0.7312541795059245,BTC/USDT
2025-06-04 20:30:00+00:00,2025-06-05 02:30:00+00:00,104681.96,104901.61,0.002098260292413269,2.0982602924132694,9.999999999999999e-05,2.098160292413269,BTC/USDT
2025-06-05 03:30:00+00:00,2025-06-05 09:30:00+00:00,104911.55,104755.23,-0.0014900170667577306,-1.4900170667577306,9.999999999999999e-05,-1.4901170667577306,BTC/USDT
2025-06-05 10:30:00+00:00,2025-06-05 16:30:00+00:00,104699.91,104036.0,-0.006341075173799132,-6.341075173799132,9.999999999999999e-05,-6.341175173799132,BTC/USDT
2025-06-05 18:00:00+00:00,2025-06-06 00:00:00+00:00,103240.04,101508.69,-0.0167701407322197,-16.7701407322197,9.999999999999999e-05,-16.7702407322197,BTC/USDT
2025-06-06 01:30:00+00:00,2025-06-06 07:30:00+00:00,101830.6,103349.12,0.014912216956396107,14.912216956396108,9.999999999999999e-05,14.912116956396108,BTC/USDT
2025-06-06 08:30:00+00:00,2025-06-06 14:30:00+00:00,103402.17,104559.84,0.011195799856037822,11.195799856037821,9.999999999999999e-05,11.195699856037821,BTC/USDT
2025-06-06 15:30:00+00:00,2025-06-06 21:30:00+00:00,104827.1,104308.38,-0.004948338740650091,-4.948338740650091,9.999999999999999e-05,-4.948438740650091,BTC/USDT
